period,onset,terminus,max
2014_36,2,3,63
2014_36,2,3,63
2014_36,2,3,63
2014_36,2,3,63
2014_36,2,3,63
2014_36,2,3,63
2014_36,2,3,63
2014_37,3,4,63
2014_37,3,4,63
2014_37,3,4,63
2014_37,3,4,63
2014_37,3,4,63
2014_37,3,4,63
2014_37,3,4,63
2014_37,3,4,63
2014_37,3,4,63
2014_38,4,5,63
2014_38,4,5,63
2014_38,4,5,63
2014_38,4,5,63
2014_38,4,5,63
2014_38,4,5,63
2014_38,4,5,63
2014_38,4,5,63
2014_38,4,5,63
2014_38,4,5,63
2014_38,4,5,63
2014_38,4,5,63
2014_38,4,5,63
2014_39,5,6,63
2014_39,5,6,63
2014_39,5,6,63
2014_39,5,6,63
2014_39,5,6,63
2014_39,5,6,63
2014_39,5,6,63
2014_39,5,6,63
2014_40,6,7,63
2014_40,6,7,63
2014_40,6,7,63
2014_40,6,7,63
2014_40,6,7,63
2014_40,6,7,63
2014_40,6,7,63
2014_40,6,7,63
2014_40,6,7,63
2014_41,7,8,63
2014_41,7,8,63
2014_41,7,8,63
2014_41,7,8,63
2014_41,7,8,63
2014_41,7,8,63
2014_41,7,8,63
2014_41,7,8,63
2014_41,7,8,63
2014_41,7,8,63
2014_41,7,8,63
2014_42,8,9,63
2014_42,8,9,63
2014_42,8,9,63
2014_42,8,9,63
2014_42,8,9,63
2014_42,8,9,63
2014_42,8,9,63
2014_42,8,9,63
2014_42,8,9,63
2014_42,8,9,63
2014_42,8,9,63
2014_42,8,9,63
2014_43,9,10,63
2014_43,9,10,63
2014_43,9,10,63
2014_43,9,10,63
2014_43,9,10,63
2014_43,9,10,63
2014_43,9,10,63
2014_43,9,10,63
2014_43,9,10,63
2014_44,10,11,63
2014_44,10,11,63
2014_44,10,11,63
2014_44,10,11,63
2014_44,10,11,63
2014_44,10,11,63
2014_44,10,11,63
2014_44,10,11,63
2014_44,10,11,63
2014_45,11,12,63
2014_45,11,12,63
2014_45,11,12,63
2014_45,11,12,63
2014_45,11,12,63
2014_45,11,12,63
2014_45,11,12,63
2014_45,11,12,63
2014_45,11,12,63
2014_45,11,12,63
2014_46,12,13,63
2014_46,12,13,63
2014_46,12,13,63
2014_46,12,13,63
2014_46,12,13,63
2014_46,12,13,63
2014_46,12,13,63
2014_46,12,13,63
2014_46,12,13,63
2014_46,12,13,63
2014_46,12,13,63
2014_46,12,13,63
2014_46,12,13,63
2014_47,13,14,63
2014_47,13,14,63
2014_47,13,14,63
2014_47,13,14,63
2014_47,13,14,63
2014_47,13,14,63
2014_47,13,14,63
2014_47,13,14,63
2014_47,13,14,63
2014_47,13,14,63
2014_47,13,14,63
2014_47,13,14,63
2014_47,13,14,63
2014_47,13,14,63
2014_47,13,14,63
2014_48,14,15,63
2014_48,14,15,63
2014_48,14,15,63
2014_48,14,15,63
2014_48,14,15,63
2014_48,14,15,63
2014_48,14,15,63
2014_48,14,15,63
2014_49,15,16,63
2014_49,15,16,63
2014_49,15,16,63
2014_49,15,16,63
2014_49,15,16,63
2014_49,15,16,63
2014_49,15,16,63
2014_49,15,16,63
2014_49,15,16,63
2014_49,15,16,63
2014_49,15,16,63
2014_49,15,16,63
2014_50,16,17,63
2014_50,16,17,63
2014_50,16,17,63
2014_50,16,17,63
2014_50,16,17,63
2014_50,16,17,63
2014_50,16,17,63
2014_50,16,17,63
2014_50,16,17,63
2014_50,16,17,63
2014_50,16,17,63
2014_50,16,17,63
2014_50,16,17,63
2014_50,16,17,63
2014_50,16,17,63
2014_51,17,18,63
2014_51,17,18,63
2014_51,17,18,63
2014_51,17,18,63
2014_51,17,18,63
2014_51,17,18,63
2014_51,17,18,63
2014_51,17,18,63
2014_51,17,18,63
2014_51,17,18,63
2014_51,17,18,63
2014_52,18,19,63
2014_52,18,19,63
2014_52,18,19,63
2014_52,18,19,63
2014_52,18,19,63
2014_52,18,19,63
2014_52,18,19,63
2014_52,18,19,63
2014_52,18,19,63
2014_52,18,19,63
2014_52,18,19,63
2015_01,19,20,63
2015_01,19,20,63
2015_01,19,20,63
2015_01,19,20,63
2015_01,19,20,63
2015_01,19,20,63
2015_01,19,20,63
2015_02,20,21,63
2015_02,20,21,63
2015_02,20,21,63
2015_02,20,21,63
2015_02,20,21,63
2015_02,20,21,63
2015_02,20,21,63
2015_03,21,22,63
2015_03,21,22,63
2015_03,21,22,63
2015_03,21,22,63
2015_03,21,22,63
2015_03,21,22,63
2015_03,21,22,63
2015_03,21,22,63
2015_03,21,22,63
2015_03,21,22,63
2015_03,21,22,63
2015_04,22,23,63
2015_04,22,23,63
2015_04,22,23,63
2015_04,22,23,63
2015_04,22,23,63
2015_04,22,23,63
2015_04,22,23,63
2015_04,22,23,63
2015_04,22,23,63
2015_04,22,23,63
2015_04,22,23,63
2015_04,22,23,63
2015_05,23,24,63
2015_05,23,24,63
2015_05,23,24,63
2015_05,23,24,63
2015_05,23,24,63
2015_05,23,24,63
2015_05,23,24,63
2015_05,23,24,63
2015_05,23,24,63
2015_06,24,25,63
2015_06,24,25,63
2015_06,24,25,63
2015_06,24,25,63
2015_06,24,25,63
2015_06,24,25,63
2015_06,24,25,63
2015_06,24,25,63
2015_06,24,25,63
2015_06,24,25,63
2015_06,24,25,63
2015_06,24,25,63
2015_06,24,25,63
2015_06,24,25,63
2015_07,25,26,63
2015_07,25,26,63
2015_07,25,26,63
2015_07,25,26,63
2015_07,25,26,63
2015_07,25,26,63
2015_07,25,26,63
2015_07,25,26,63
2015_07,25,26,63
2015_08,26,27,63
2015_08,26,27,63
2015_08,26,27,63
2015_08,26,27,63
2015_08,26,27,63
2015_08,26,27,63
2015_08,26,27,63
2015_08,26,27,63
2015_08,26,27,63
2015_08,26,27,63
2015_08,26,27,63
2015_08,26,27,63
2015_08,26,27,63
2015_08,26,27,63
2015_08,26,27,63
2015_09,27,28,63
2015_09,27,28,63
2015_09,27,28,63
2015_09,27,28,63
2015_09,27,28,63
2015_09,27,28,63
2015_09,27,28,63
2015_09,27,28,63
2015_09,27,28,63
2015_09,27,28,63
2015_09,27,28,63
2015_09,27,28,63
2015_09,27,28,63
2015_09,27,28,63
2015_10,28,29,63
2015_10,28,29,63
2015_10,28,29,63
2015_10,28,29,63
2015_10,28,29,63
2015_10,28,29,63
2015_10,28,29,63
2015_10,28,29,63
2015_10,28,29,63
2015_11,29,30,63
2015_11,29,30,63
2015_11,29,30,63
2015_11,29,30,63
2015_11,29,30,63
2015_11,29,30,63
2015_11,29,30,63
2015_11,29,30,63
2015_11,29,30,63
2015_11,29,30,63
2015_11,29,30,63
2015_11,29,30,63
2015_11,29,30,63
2015_12,30,31,63
2015_12,30,31,63
2015_12,30,31,63
2015_12,30,31,63
2015_12,30,31,63
2015_12,30,31,63
2015_12,30,31,63
2015_12,30,31,63
2015_13,31,32,63
2015_13,31,32,63
2015_13,31,32,63
2015_13,31,32,63
2015_13,31,32,63
2015_13,31,32,63
2015_13,31,32,63
2015_13,31,32,63
2015_13,31,32,63
2015_13,31,32,63
2015_13,31,32,63
2015_13,31,32,63
2015_13,31,32,63
2015_13,31,32,63
2015_13,31,32,63
2015_13,31,32,63
2015_14,32,33,63
2015_14,32,33,63
2015_14,32,33,63
2015_14,32,33,63
2015_14,32,33,63
2015_14,32,33,63
2015_14,32,33,63
2015_14,32,33,63
2015_14,32,33,63
2015_14,32,33,63
2015_14,32,33,63
2015_14,32,33,63
2015_14,32,33,63
2015_15,33,34,63
2015_15,33,34,63
2015_15,33,34,63
2015_15,33,34,63
2015_15,33,34,63
2015_15,33,34,63
2015_15,33,34,63
2015_15,33,34,63
2015_15,33,34,63
2015_15,33,34,63
2015_15,33,34,63
2015_15,33,34,63
2015_15,33,34,63
2015_15,33,34,63
2015_15,33,34,63
2015_15,33,34,63
2015_15,33,34,63
2015_16,34,35,63
2015_16,34,35,63
2015_16,34,35,63
2015_16,34,35,63
2015_16,34,35,63
2015_16,34,35,63
2015_16,34,35,63
2015_16,34,35,63
2015_16,34,35,63
2015_16,34,35,63
2015_16,34,35,63
2015_16,34,35,63
2015_17,35,36,63
2015_17,35,36,63
2015_17,35,36,63
2015_17,35,36,63
2015_17,35,36,63
2015_17,35,36,63
2015_17,35,36,63
2015_17,35,36,63
2015_17,35,36,63
2015_17,35,36,63
2015_17,35,36,63
2015_17,35,36,63
2015_17,35,36,63
2015_17,35,36,63
2015_17,35,36,63
2015_17,35,36,63
2015_17,35,36,63
2015_18,36,37,63
2015_18,36,37,63
2015_18,36,37,63
2015_18,36,37,63
2015_18,36,37,63
2015_18,36,37,63
2015_18,36,37,63
2015_18,36,37,63
2015_18,36,37,63
2015_18,36,37,63
2015_18,36,37,63
2015_18,36,37,63
2015_18,36,37,63
2015_18,36,37,63
2015_19,37,38,63
2015_19,37,38,63
2015_19,37,38,63
2015_19,37,38,63
2015_19,37,38,63
2015_19,37,38,63
2015_19,37,38,63
2015_19,37,38,63
2015_19,37,38,63
2015_19,37,38,63
2015_19,37,38,63
2015_19,37,38,63
2015_19,37,38,63
2015_19,37,38,63
2015_19,37,38,63
2015_19,37,38,63
2015_19,37,38,63
2015_19,37,38,63
2015_20,38,39,63
2015_20,38,39,63
2015_20,38,39,63
2015_20,38,39,63
2015_20,38,39,63
2015_20,38,39,63
2015_20,38,39,63
2015_20,38,39,63
2015_20,38,39,63
2015_20,38,39,63
2015_20,38,39,63
2015_21,39,40,63
2015_21,39,40,63
2015_21,39,40,63
2015_21,39,40,63
2015_21,39,40,63
2015_21,39,40,63
2015_21,39,40,63
2015_21,39,40,63
2015_21,39,40,63
2015_21,39,40,63
2015_21,39,40,63
2015_22,40,41,63
2015_22,40,41,63
2015_22,40,41,63
2015_22,40,41,63
2015_22,40,41,63
2015_22,40,41,63
2015_22,40,41,63
2015_22,40,41,63
2015_22,40,41,63
2015_22,40,41,63
2015_22,40,41,63
2015_23,41,42,63
2015_23,41,42,63
2015_23,41,42,63
2015_23,41,42,63
2015_23,41,42,63
2015_23,41,42,63
2015_23,41,42,63
2015_23,41,42,63
2015_23,41,42,63
2015_23,41,42,63
2015_23,41,42,63
2015_23,41,42,63
2015_23,41,42,63
2015_23,41,42,63
2015_23,41,42,63
2015_23,41,42,63
2015_23,41,42,63
2015_23,41,42,63
2015_24,42,43,63
2015_24,42,43,63
2015_24,42,43,63
2015_24,42,43,63
2015_24,42,43,63
2015_24,42,43,63
2015_24,42,43,63
2015_24,42,43,63
2015_24,42,43,63
2015_24,42,43,63
2015_24,42,43,63
2015_24,42,43,63
2015_24,42,43,63
2015_25,43,44,63
2015_25,43,44,63
2015_25,43,44,63
2015_25,43,44,63
2015_25,43,44,63
2015_25,43,44,63
2015_25,43,44,63
2015_25,43,44,63
2015_25,43,44,63
2015_25,43,44,63
2015_25,43,44,63
2015_25,43,44,63
2015_26,44,45,63
2015_26,44,45,63
2015_26,44,45,63
2015_26,44,45,63
2015_26,44,45,63
2015_26,44,45,63
2015_26,44,45,63
2015_26,44,45,63
2015_26,44,45,63
2015_26,44,45,63
2015_26,44,45,63
2015_26,44,45,63
2015_26,44,45,63
2015_26,44,45,63
2015_27,45,46,63
2015_27,45,46,63
2015_27,45,46,63
2015_27,45,46,63
2015_27,45,46,63
2015_27,45,46,63
2015_27,45,46,63
2015_27,45,46,63
2015_27,45,46,63
2015_27,45,46,63
2015_27,45,46,63
2015_27,45,46,63
2015_27,45,46,63
2015_27,45,46,63
2015_28,46,47,63
2015_28,46,47,63
2015_28,46,47,63
2015_28,46,47,63
2015_28,46,47,63
2015_28,46,47,63
2015_28,46,47,63
2015_28,46,47,63
2015_28,46,47,63
2015_28,46,47,63
2015_28,46,47,63
2015_28,46,47,63
2015_28,46,47,63
2015_28,46,47,63
2015_28,46,47,63
2015_28,46,47,63
2015_28,46,47,63
2015_28,46,47,63
2015_29,47,48,63
2015_29,47,48,63
2015_29,47,48,63
2015_29,47,48,63
2015_29,47,48,63
2015_29,47,48,63
2015_29,47,48,63
2015_29,47,48,63
2015_29,47,48,63
2015_29,47,48,63
2015_29,47,48,63
2015_29,47,48,63
2015_29,47,48,63
2015_30,48,49,63
2015_30,48,49,63
2015_30,48,49,63
2015_30,48,49,63
2015_30,48,49,63
2015_30,48,49,63
2015_30,48,49,63
2015_30,48,49,63
2015_30,48,49,63
2015_30,48,49,63
2015_30,48,49,63
2015_30,48,49,63
2015_30,48,49,63
2015_30,48,49,63
2015_30,48,49,63
2015_30,48,49,63
2015_30,48,49,63
2015_31,49,50,63
2015_31,49,50,63
2015_31,49,50,63
2015_31,49,50,63
2015_31,49,50,63
2015_31,49,50,63
2015_31,49,50,63
2015_31,49,50,63
2015_31,49,50,63
2015_31,49,50,63
2015_31,49,50,63
2015_31,49,50,63
2015_31,49,50,63
2015_31,49,50,63
2015_31,49,50,63
2015_31,49,50,63
2015_31,49,50,63
2015_32,50,51,63
2015_32,50,51,63
2015_32,50,51,63
2015_32,50,51,63
2015_32,50,51,63
2015_32,50,51,63
2015_32,50,51,63
2015_32,50,51,63
2015_32,50,51,63
2015_32,50,51,63
2015_32,50,51,63
2015_32,50,51,63
2015_32,50,51,63
2015_32,50,51,63
2015_33,51,52,63
2015_33,51,52,63
2015_33,51,52,63
2015_33,51,52,63
2015_33,51,52,63
2015_33,51,52,63
2015_33,51,52,63
2015_33,51,52,63
2015_33,51,52,63
2015_33,51,52,63
2015_33,51,52,63
2015_33,51,52,63
2015_33,51,52,63
2015_33,51,52,63
2015_33,51,52,63
2015_34,52,53,63
2015_34,52,53,63
2015_34,52,53,63
2015_34,52,53,63
2015_34,52,53,63
2015_34,52,53,63
2015_34,52,53,63
2015_34,52,53,63
2015_34,52,53,63
2015_34,52,53,63
2015_34,52,53,63
2015_34,52,53,63
2015_34,52,53,63
2015_34,52,53,63
2015_34,52,53,63
2015_34,52,53,63
2015_34,52,53,63
2015_34,52,53,63
2015_34,52,53,63
2015_34,52,53,63
2015_35,53,54,63
2015_35,53,54,63
2015_35,53,54,63
2015_35,53,54,63
2015_35,53,54,63
2015_35,53,54,63
2015_35,53,54,63
2015_35,53,54,63
2015_35,53,54,63
2015_35,53,54,63
2015_35,53,54,63
2015_35,53,54,63
2015_35,53,54,63
2015_35,53,54,63
2015_35,53,54,63
2015_36,54,55,63
2015_36,54,55,63
2015_36,54,55,63
2015_36,54,55,63
2015_36,54,55,63
2015_36,54,55,63
2015_36,54,55,63
2015_36,54,55,63
2015_36,54,55,63
2015_36,54,55,63
2015_36,54,55,63
2015_36,54,55,63
2015_37,55,56,63
2015_37,55,56,63
2015_37,55,56,63
2015_37,55,56,63
2015_37,55,56,63
2015_37,55,56,63
2015_37,55,56,63
2015_37,55,56,63
2015_37,55,56,63
2015_37,55,56,63
2015_37,55,56,63
2015_37,55,56,63
2015_38,56,57,63
2015_38,56,57,63
2015_38,56,57,63
2015_38,56,57,63
2015_38,56,57,63
2015_38,56,57,63
2015_38,56,57,63
2015_39,57,58,63
2015_39,57,58,63
2015_39,57,58,63
2015_39,57,58,63
2015_39,57,58,63
2015_39,57,58,63
2015_40,58,59,63
2015_40,58,59,63
2015_40,58,59,63
2015_40,58,59,63
2015_40,58,59,63
2015_41,59,60,63
2015_41,59,60,63
2015_41,59,60,63
2015_41,59,60,63
2015_41,59,60,63
2015_41,59,60,63
2015_41,59,60,63
2015_41,59,60,63
2015_42,60,61,63
2015_42,60,61,63
2015_42,60,61,63
2015_42,60,61,63
2015_42,60,61,63
2015_42,60,61,63
2015_42,60,61,63
2015_42,60,61,63
2015_42,60,61,63
2015_42,60,61,63
2015_43,61,62,63
2015_43,61,62,63
2015_43,61,62,63
2015_43,61,62,63
2015_43,61,62,63
2015_43,61,62,63
2015_43,61,62,63
2015_44,62,63,63
2015_44,62,63,63
2015_44,62,63,63
2015_44,62,63,63
2015_45,63,64,63
2015_45,63,64,63
2015_45,63,64,63
2015_45,63,64,63
